category,severity,key,detail
wallet,medium,balance_continuity_row,"{""date"":""2018-04-27"",""type"":""Withdrawal"",""amount"":-100120000,""running"":326341302,""balance"":380937178,""diffSatoshi"":-54595876,""diffXbt"":-0.54595876}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-28"",""type"":""RealisedPNL"",""amount"":54595876,""running"":380937178,""balance"":481057178,""diffSatoshi"":-100120000,""diffXbt"":-1.0012}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-29"",""type"":""RealisedPNL"",""amount"":33452667,""running"":414389845,""balance"":413219623,""diffSatoshi"":1170222,""diffXbt"":0.01170222}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-29"",""type"":""RealisedPNL"",""amount"":-1731985,""running"":412657860,""balance"":413219623,""diffSatoshi"":-561763,""diffXbt"":-0.00561763}"
wallet,medium,balance_continuity_row,"{""date"":""2018-05-04"",""type"":""RealisedPNL"",""amount"":16061478,""running"":433666881,""balance"":413071686,""diffSatoshi"":20595195,""diffXbt"":0.20595195}"
wallet,medium,balance_continuity_row,"{""date"":""2018-05-07"",""type"":""RealisedPNL"",""amount"":20063251,""running"":434811006,""balance"":463516754,""diffSatoshi"":-28705748,""diffXbt"":-0.28705748}"
wallet,medium,balance_continuity_day_end,"{""date"":""2018-04-28"",""endRunning"":380937178,""endBalance"":481057178,""diffSatoshi"":-100120000,""diffXbt"":-1.0012}"
wallet,medium,balance_continuity_day_end,"{""date"":""2018-04-27"",""endRunning"":326341302,""endBalance"":380937178,""diffSatoshi"":-54595876,""diffXbt"":-0.54595876}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-08"",""endRunning"":120302451999,""endBalance"":120302000000,""diffSatoshi"":451999,""diffXbt"":0.00451999}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-20"",""endRunning"":117513423262,""endBalance"":117513000000,""diffSatoshi"":423262,""diffXbt"":0.00423262}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-14"",""endRunning"":134444576920,""endBalance"":134445000000,""diffSatoshi"":-423080,""diffXbt"":-0.0042308}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-05"",""endRunning"":100334421760,""endBalance"":100334000000,""diffSatoshi"":421760,""diffXbt"":0.0042176}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-21"",""endRunning"":122292418343,""endBalance"":122292000000,""diffSatoshi"":418343,""diffXbt"":0.00418343}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-11"",""endRunning"":125453389378,""endBalance"":125453000000,""diffSatoshi"":389378,""diffXbt"":0.00389378}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-15"",""endRunning"":136565619734,""endBalance"":136566000000,""diffSatoshi"":-380266,""diffXbt"":-0.00380266}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-16"",""endRunning"":136893624933,""endBalance"":136894000000,""diffSatoshi"":-375067,""diffXbt"":-0.00375067}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-07"",""endRunning"":103161628052,""endBalance"":103162000000,""diffSatoshi"":-371948,""diffXbt"":-0.00371948}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-09"",""endRunning"":133996276954,""endBalance"":133996000000,""diffSatoshi"":276954,""diffXbt"":0.00276954}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-06"",""endRunning"":103014272896,""endBalance"":103014000000,""diffSatoshi"":272896,""diffXbt"":0.00272896}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-17"",""endRunning"":137883915939,""endBalance"":137884000000,""diffSatoshi"":-84061,""diffXbt"":-0.00084061}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-10"",""endRunning"":124832075788,""endBalance"":124832000000,""diffSatoshi"":75788,""diffXbt"":0.00075788}"
